source,target,source_name,target_name,action,repoint_to,reason,status,new_confidence
Q221121,Q268880,Chojun Miyagi,Gogen Yamaguchi,keep,,"[audit:goju-japan-world; verifier: confirmed] Relationship real and direction right: Yamaguchi trained with Miyagi during Miyagi's brief mainland visits (Ritsumeikan, 1930s) and received the name 'Gogen' from him in 1937. But Graham Noble's research notes Miyagi was never in Japan long",proposed,medium
Q268880,Q115091,Gogen Yamaguchi,Peter Urban,keep,,[audit:goju-japan-world; verifier: confirmed] Clearly documented: Yamaguchi accepted Urban as a student in Tokyo in 1954 (introduced by Richard Kim) and graded him to 5th dan before Urban left Japan in 1959 to found American Goju. Reported consistently in Urban's Wikipedia biography an,proposed,high
Q268880,Q7040172,Gogen Yamaguchi,Nisar Smiler,keep,,"[audit:goju-japan-world; verifier: confirmed] Smiler's Wikipedia biography states he trained under Gogen Yamaguchi in Japan, but this rests on a single low-traffic biographical article with no independent corroboration in Goju-kai organisational sources found; high overstates the docum",proposed,medium
C00639,Q715769,Wai Shin Zan,Sokon Matsumura,drop,,"[audit:uechi-ryu; verifier: confirmed] Funakoshi's Karate-do Kyohan (near-primary) assigns Matsumura of Shuri to the Chinese attache Iwah, and the Naha group (Sakiyama, Gushi, Tomoyori) to Ason, not Waishinzan. Waishinzan's documented Okinawan students are the Arakaki/Higaonna/K",proposed,
C00145,C00427,Iwah,Ranho Maezato,keep,,"[audit:uechi-ryu; verifier: confirmed] Funakoshi's Karate-do Kyohan states explicitly that 'Matsumura of Shuri, and Maesato and Kogusuku of Kume' studied under the military attache Iwah; Maesato of Kume is standardly identified with Maezato Ranpo (1838-1904). Near-primary suppor",proposed,medium
Q584466,Q2473562,Seisho Arakaki,Kanbun Uechi,keep,,"[audit:uechi-ryu; verifier: confirmed] Only support is the Wikipedia infobox student list on the Arakaki article. No Uechi-ryu history (en/ja Wikipedia on Kanbun and Uechi-ryu, uechi-ryu.com, Motobu Naoki's research on Kanbun's training) names Arakaki as Kanbun's teacher; Kanbun",proposed,low
C00232,C00229,Kenko Nakaima,Kenji Nakaima,keep,,"[audit:ryuei-kojo; verifier: confirmed] Underrated at medium. The style's own genealogy lists Kenji (b. 1934) as 5th-generation successor to his father Kenko under the isshi soden (one-child transmission) rule, and Japanese Wikipedia gives the succession 4代憲孝 to 5代憲児; father-to-s",proposed,high
Q1147708,A0004,Choki Motobu,T'ung Gee Hsing,drop,,"[audit:motobu-udun; verifier: confirmed] The claim that Hsing cross-trained with Motobu Choki in Kume village derives solely from Robert Trias's self-promotional lineage story; no independent or primary source corroborates it, and Motobu lived on mainland Japan (Osaka/Tokyo) throu",proposed,
Q1147708,Q6139856,Choki Motobu,James Mitose,drop,,"[audit:motobu-udun; verifier: confirmed] English Wikipedia treats the Motobu connection as an assumption inferred from a photograph in Mitose's book, not verified training; Mitose's Okinawan material more plausibly derives from Mutsu Mizuho's 1933 book and Higaonna Kamesuke's Hawa",proposed,
Q1147708,C00034,Choki Motobu,Eizo Shimabukuro,keep,,"[audit:motobu-udun; verifier: confirmed] Claim rests on Eizo's own school bios with an internally inconsistent timeline (one version has him introduced to Motobu in Osaka in 1943, when Motobu had returned to Okinawa and died there in April 1944; Eizo was a teenager). Consistent on",proposed,low
Q1147708,C00174,Choki Motobu,Kamesuke Higaonna,keep,,"[audit:motobu-udun; verifier: confirmed] Clearly documented: Higaonna Kamesuke was a regular student at Motobu's Tokyo dojo around 1927, wrote about Motobu, and took karate kenpo to Hawaii in 1933; documented in Henning Wittwer's source-translation volume and the Shudokan heritage",proposed,high
C00478,A0019,Seikichi Uehara,Seiyu Oyata,keep,,"[audit:okinawa-kenpo-ryute; verifier: confirmed] The official Motobu-ryu (soke organisation) blog explicitly names Oyata among those who studied under Uehara in the Showa 30s-40s, learning tuite and bojutsu, and explains why the students did not publicly acknowledge it. This is a near-pri",proposed,medium
A0021,A0113,Seiki Toma,Seifuku Nitta,keep,,"[audit:okinawa-kenpo-ryute; verifier: confirmed] Attested from both directions: Nitta's biography states he studied Shorin-ryu Seidokan under Seiki Toma for 10 years from 1982 (awarded judan 1992), and Seiki Toma's own biography names Seifuku Nitta among his most notable students. Identit",proposed,medium
C00253,A0114,Kiyohiko Higa,Ulf Karlsson,keep,,"[audit:okinawa-kenpo-ryute; verifier: confirmed] Consistently reported (Karlsson described as the first person granted a shihan licence in KishimotoDi by Higa Kiyohiko), including by a third-party Finnish taido club seminar page, but all sources are practitioner or promotional pages; no s",proposed,medium
C00034,A0112,Eizo Shimabukuro,Larry Isaac,keep,,"[audit:okinawa-kenpo-ryute; verifier: confirmed] The only source found is Isaac's own dojo biography ('trained and studied with four of Okinawa's great grandmasters'), a self-promotional page with no independent corroboration for the Shimabukuro claim specifically. Downgrade medium to low",proposed,low
Q27363,A0021,Tatsuo Shimabuku,Seiki Toma,drop,,"[audit:isshin-ryu; verifier: confirmed] Only source is the hobbyist Shuriway site (personal site, not acceptable). Wikipedia's Okinawa Seidokan article does not name Tatsuo Shimabuku among Toma's teachers, and there is clear identity confusion in lineage bios between Seiki Toma (",proposed,
Q27363,Q4785266,Tatsuo Shimabuku,Arcenio James Advincula,keep,,"[audit:isshin-ryu; verifier: confirmed] Advincula's Wikipedia article documents training with Shimabuku in detail: first met 1 December 1958 at the Agena dojo, trained ~14 months, resumed on later Okinawa postings (1961-1964), relationship maintained until Shimabuku's death in 19",proposed,high
Q8031976,Q542989,Wong Chung-Yoh,Chatan Yara,keep,,"[audit:kobudo-systems; verifier: confirmed] The relationship rests on 18th-century oral tradition transmitted through the Yara family kata line; Wikipedia states Yara mastered bo and sai under Wong Chung-Yoh in China, but a wikidata claim plus tradition cannot support high for a 1700",proposed,medium
Q1908090,A0124,Shinpo Matayoshi,Yasushi Matayoshi,keep,,"[audit:kobudo-systems; verifier: confirmed] Yasushi is Shinpo's son and successor as head of the Matayoshi Kodokan lineage after Shinpo's death in 1997; father-to-son transmission within the honbu is consistently reported by Matayoshi organisations, so low understates it.",proposed,medium
Q41105,Q16089695,Gichin Funakoshi,Satoshi Saito,keep,,"[audit:kobudo-systems; verifier: confirmed] Wikipedia's Saito Satoshi article states explicitly that he 'began the study of karate under Funakoshi Gichin'; this is clearly documented biography, not just an infobox artefact.",proposed,high
Q7446788,Q16089695,Seiko Fujita,Satoshi Saito,keep,,"[audit:kobudo-systems; verifier: confirmed] Wikipedia documents that Saito trained under Fujita Seiko from 1949, receiving Shingetsu-ryu shurikenjutsu; a dated, named transmission justifies high.",proposed,high
Q705617,Q15987278,Chomo Hanashiro,Seikichi Odo,drop,,"[audit:shotokan; verifier: confirmed] Odo (b. 1926) began karate at age 23 (c. 1949) under Shigeru Nakamura; his kobudo teachers were Kakazu, Nakaima, Matayoshi and Toma. Hanashiro died in 1945 and appears in no reliable account of Odo's training; the edge rests only on an info",proposed,
Q705617,Q189805,Chomo Hanashiro,Zenryo Shimabukuro,drop,,[audit:shotokan; verifier: confirmed] Zenryo Shimabukuro trained under Chotoku Kyan from 1932 until Kyan's death; his son Zenpo states explicitly 'My father only trained with Kyan sensei. He had no other teacher.' No reliable source connects him to Hanashiro.,proposed,
Q715769,Q41105,Sokon Matsumura,Gichin Funakoshi,keep,,[audit:shotokan; verifier: confirmed] Consistently reported (en-wiki infobox lists Matsumura among Funakoshi's teachers) but direct instruction rests on tradition; Funakoshi's own writings name Azato and Itosu as his teachers and describe Matsumura mainly anecdotally. 'High' ov,proposed,medium
Q384558,Q471629,Masatoshi Nakayama,Hirokazu Kanazawa,keep,,"[audit:shotokan; verifier: confirmed] Clearly documented: Kanazawa began karate at Takushoku University under then-head instructor Nakayama and completed the JKA instructor programme under him. Should be high, matching the parallel Funakoshi>Kanazawa edge.",proposed,high
Q384558,Q7397534,Masatoshi Nakayama,Sadamu Uriu,keep,,"[audit:shotokan; verifier: plausible] Clearly documented: Uriu began Shotokan training under Nakayama in 1951 before emigrating to Brazil, per his Wikipedia biography and Brazilian karate histories.",proposed,high
A0148,Q3317210,Genshin Hironishi,Mitsusuke Harada,keep,,[audit:shotokan; verifier: confirmed] Harada's Wikipedia biography names Hironishi (then 4th dan) explicitly as his first instructor at the Shotokan dojo. Clearly documented.,proposed,high
A0149,Q3317210,Tadao Okuyama,Mitsusuke Harada,keep,,"[audit:shotokan; verifier: confirmed] Harada's Wikipedia biography lists Okuyama among his teachers and states Harada trained under Okuyama (then 3rd dan) at Waseda, where Okuyama strongly influenced his karate. Consistently reported, so medium rather than low.",proposed,medium
Q1071733,Q7446703,Choshin Chibana,Seiichi Iju,drop,,[audit:shito-ryu; verifier: confirmed] Wikipedia's Seiichi Iju article names only Shinpan Gusukuma as his teacher. Chibana appears in the Nakazato article solely as Shugoro Nakazato's LATER teacher after Iju ('who then went on to become a student of Chosin Chibana'); the text_pa,proposed,
Q453505,A0152,Kenwa Mabuni,Yun Kwae-byung,keep,,"[audit:shito-ryu; verifier: confirmed] Wikipedia states explicitly: 'Yun started Karate under Kenwa Mabuni while attending secondary school in Osaka', and its infobox lists Mabuni alongside Kanken Toyama and Chun Sang Sup. Consistently reported, so low undersells it; raise to me",proposed,medium
C00586,A0026,Teruo Hayashi,Yoshimi Inoue,keep,,[audit:shito-ryu; verifier: confirmed] Inoue's own organisation records that at 18 he became Hayashi Teruo's only live-in disciple (uchi-deshi) in Osaka; the Inoue-ha Shito-ryu Keishin-kai lineage descends directly from Hayashi-ha. Clearly documented; raise medium to high.,proposed,high
A0078,A0080,Chojiro Tani,Haruyoshi Yamada,keep,,[audit:shito-ryu; verifier: confirmed] Wikipedia's Shukokai article records Yamada as a senior Tani student selected as inaugural head of the Shito-ryu Shukokai Karate-do Union formed after Tani's death in 1998 (9th dan Hanshi). Consistently reported succession; raise low to med,proposed,medium
Q1147708,C00285,Choki Motobu,Kokuba,keep,,[audit:shito-ryu; verifier: confirmed] Multiple independent Seishinkai-lineage genealogies agree Kokuba Kosei began under Motobu Choki at age 14 in Okinawa and on Motobu's death in 1947 became 2nd Soke of Motobu-ha Karate-do; this succession is the defining fact of Motobu-ha Shi,proposed,high
C00285,Q3959901,Kokuba,Shogo Kuniba,keep,,"[audit:shito-ryu; verifier: confirmed] Japanese Wikipedia's Kuniba Shogo article lists 國場幸盛 (Kokuba Kosei), his adoptive father/uncle, as his teacher in Motobu-ha karate; Kuniba succeeded him as 3rd Soke after Kokuba's death in 1959. Raise medium to high.",proposed,high
Q3959901,A0094,Shogo Kuniba,Kozo Kuniba,keep,,[audit:shito-ryu; verifier: confirmed] Japanese Wikipedia's Kuniba Shogo article names 国場浩三 (Kuniba Kozo) as leader of the Kuniba-kai organisation continuing Shogo's line; father-son transmission within the family school is consistently reported. Raise low to medium.,proposed,medium
Q584466,Q3772405,Seisho Arakaki,Kanken Toyama,drop,,"[audit:wado-chito-shudokan; verifier: confirmed] The cited source (en-wiki Kanken Toyama) names 'Ankichi Aragaki' as his Tomari-te teacher, not Seisho Arakaki (1840-1918, Naha-te). The mapping to Q584466 is a namesake error; no source ties Seisho Arakaki to Toyama.",proposed,
Q3772405,C00494,Kanken Toyama,Seitoku Higa,drop,,"[audit:wado-chito-shudokan; verifier: confirmed] Only forum/blog evidence (e-budo thread, kcdw.de). Higa Seitoku's (1921-2006, Bugeikan) documented lineage is Kishimoto Soko (Tachimura-ha Shuri-te); no acceptable source places him under Toyama.",proposed,
Q3772405,Q2149940,Kanken Toyama,Richard Kim,keep,,[audit:wado-chito-shudokan; verifier: confirmed] En-wiki and Wikidata repeat Kim's self-reported biography (he 'lived with' Yoshida Kotaro and trained with Toyama). Kim's lineage claims are widely questioned in the field and lack independent documentation; consistently reported but not cl,proposed,medium
Q527422,Q3772405,Anko Itosu,Kanken Toyama,keep,,[audit:wado-chito-shudokan; verifier: confirmed] Clearly documented: Toyama entered Itosu's tutelage c.1897 aged 9 and remained his student until Itosu's death; Itosu was his primary teacher. Raise medium to high.,proposed,high
Q135222893,Q6782529,Tsuyoshi Chitose,Masami Tsuruoka,keep,,"[audit:wado-chito-shudokan; verifier: confirmed] Clearly documented beyond the infobox: began Chito-ryu under Chitose in Kumamoto in 1946, shodan 1949, appointed Chitose's Chief Representative for Canada in 1962.",proposed,high
Q135222893,Q5728406,Tsuyoshi Chitose,Henry Slomanski,keep,,[audit:wado-chito-shudokan; verifier: plausible] En-wiki article text (not just infobox) states Slomanski began karate under Dr Tsuyoshi Chitose. Raise medium to high.,proposed,high
Q3136331,A0095,Hironori Otsuka II,Kazutaka Otsuka (Hironori Otsuka III),keep,,"[audit:wado-chito-shudokan; verifier: plausible] Kazutaka (b. 14 March 1965) is Jiro Otsuka's son, trained in the family honbu and formally succeeded as 3rd soke at the Tokyo ceremony of 28 August 2015. Father-son instruction consistently reported; raise low to medium.",proposed,medium
Q560761,Q919033,Jon Bluming,Hideyuki Ashihara,keep,,[audit:kyokushin-lines; verifier: confirmed] Only the en.wiki infobox lists Bluming as a teacher; the article text and all narrative accounts have Ashihara training at the Oyama Dojo/Kyokushin honbu under Oyama. No source documents Bluming instructing Ashihara. Downgrade to low.,proposed,low
Q2664662,Q11258528,Shokei Matsui,Kenji Yamaki,keep,,[audit:kyokushin-lines; verifier: confirmed] Yamaki's documented trainer was Tsuyoshi Hiroshige (Jonan branch); Matsui was his organisational head (IKO1 kancho) only one year his senior. Only evidence is wikidata P802; no source shows actual instruction. High is unfair.,proposed,low
Q2664662,Q5361556,Shokei Matsui,Hajime Kazumi,keep,,[audit:kyokushin-lines; verifier: confirmed] ja.wiki on Kazumi explicitly describes Matsui instructing him at the Kyokushin honbu in his early years. Raise from low to medium.,proposed,medium
Q1738762,Q6149743,Kenji Kurosaki,Jan Plas,keep,,"[audit:kyokushin-lines; verifier: confirmed] en.wiki on Plas states explicitly he learned kickboxing from Kenji Kurosaki at the original Mejiro Gym in Tokyo and founded Mejiro Gym Amsterdam (1978) on that training. Clearly documented, raise to high.",proposed,high
Q2636225,Q123398,Kazuyoshi Ishii,Andy Hug,keep,,"[audit:kyokushin-lines; verifier: confirmed] Hug switched to Seidokaikan in 1992, won the 1992 Seidokaikan Karate World Cup and fought his whole K-1 career under Ishii, who remained his mentor to his deathbed. Consistently reported; raise from low to medium.",proposed,medium
Q2636225,A0199,Kazuyoshi Ishii,Nobuaki Kakuda,keep,,[audit:kyokushin-lines; verifier: confirmed] Kakuda has been a Seidokaikan senior instructor under Ishii since joining in the 1980s and served as K-1 executive under him; consistently reported on ja.wiki. Raise from low to medium.,proposed,medium
Q41105,Q294548,Gichin Funakoshi,Mas Oyama,keep,,"[audit:kyokushin-lines; verifier: confirmed] Standard Oyama biography (Shotokan training at Takushoku under Funakoshi) but details are contested in critical scholarship and evidence here is infobox/wikidata only. Medium (consistently reported) is the fair level, not high.",proposed,medium
Q294548,Q11428483,Mas Oyama,Norichika Tsukamoto,keep,,"[audit:kyokushin-lines; verifier: confirmed] Tsukamoto's documented trainer was Tsuyoshi Hiroshige (Jonan branch); he won his first world title in 1995, after Oyama's death. The Oyama link is organisational (wikidata P802 only), not personal instruction.",proposed,medium
Q912181,Q64929894,Nicholas Pettas,Leona Pettas,keep,,"[audit:kyokushin-lines; verifier: confirmed] en.wiki: Nicholas Pettas was Leona's first trainer, and Leona (real name Reona Kato) took the ring surname Pettas from him. Clearly documented; raise to high.",proposed,high
Q3984847,Q780966,Terutomo Yamazaki,Seiji Isobe,keep,,"[audit:kyokushin-lines; verifier: confirmed] Both en.wiki articles agree: Isobe received guidance from Yamazaki from 1970, and Yamazaki's article lists Isobe among his notable students. Raise to high.",proposed,high
Q41105,Q356335,Gichin Funakoshi,Choi Hong-hi,keep,,"[audit:korean-arts; verifier: confirmed] Wikipedia states Choi 'claimed to have learned Shotokan karate under Funakoshi Gichin'; his named instructor in Japan was Kim Hyun-soo in Kyoto, and direct tutelage under Funakoshi is a self-reported, unverified claim. Credible tradition, n",proposed,low
Q598665,Q2673,Takayuki Kubota,Chuck Norris,keep,,[audit:korean-arts; verifier: confirmed] Only support is Norris's inclusion in a celebrity-client list on Kubota's Wikipedia page. Norris's own article lists his teachers as Shin Jae-chul and the Machado brothers only; Kubota's documented 1964 Long Beach encounter with Norris was ,proposed,low
Q653633,Q2673,Ed Parker,Chuck Norris,keep,,"[audit:korean-arts; verifier: plausible] Norris's Wikipedia article does not list Parker among his teachers; their documented association is through Parker's Long Beach International tournaments. Claims that Parker taught Norris kenpo appear only in anecdote and low-grade sources,",proposed,low
Q2673,Q7143413,Chuck Norris,Pat E Johnson,keep,,"[audit:korean-arts; verifier: confirmed] Johnson earned his Tang Soo Do black belt in Korea under a Korean master named Kang Lo Hee; from 1968 he was chief instructor AT Norris's Sherman Oaks school, i.e. a senior colleague within Norris's organisation rather than a clearly docume",proposed,low
Q2673,Q6266828,Chuck Norris,Johnny Gyro,keep,,"[audit:korean-arts; verifier: confirmed] The relationship (trained under Norris at the Sherman Oaks school, first black belt 1978) is consistently reported, but Gyro's English Wikipedia article has been deleted (404), leaving only Wikidata and promotional bios; high is no longer j",proposed,medium
A0003,A0183,Nam Tae-hi,Kong Young-il,keep,,"[audit:korean-arts; verifier: confirmed] Kong's Wikipedia article states directly 'Kong trained in taekwondo under Choi Hong-hi and Nam Tae-hi'; the same source underpins the Choi>Kong edge rated high, so low is inconsistent. Raised to medium (single explicit source).",proposed,medium
Q356335,A0182,Choi Hong-hi,Choi Chang-keun,keep,,"[audit:korean-arts; verifier: confirmed] C.K. Choi is one of the twelve original masters of taekwondo who worked directly under Gen. Choi Hong-hi in the ITF and toured on his demonstration teams; consistently reported, so medium rather than low.",proposed,medium
A0154,A0174,Yoon Byung-in,Park Chul-hee,keep,,[audit:korean-arts; verifier: confirmed] Park's mookas obituary states outright that he was a student of Yoon Byung-in of the YMCA Kwon Bop Bu ('YMCA 권법부 윤병인 선생의 제자') who co-founded Kang Duk Won in 1956; clearly documented.,proposed,high
A0154,A0175,Yoon Byung-in,Hong Jong-pyo,keep,,"[audit:korean-arts; verifier: confirmed] Korean kwan histories state Kang Duk Won was founded in 1956 by Hong Jong-pyo and Park Chul-hee, 'two men who trained at the YMCA Kwon Bop Bu' under Yoon Byung-in, with Hong as first kwanjang; clearly documented.",proposed,high
A0154,A0177,Yoon Byung-in,Lee Nam-suk,keep,,[audit:korean-arts; verifier: confirmed] Korean accounts consistently name Lee Nam-suk (with Kim Soon-bae) as the YMCA Kwon Bop Bu student who rebuilt Yoon's school as Chang Moo Kwan after Yoon's abduction to the North; clearly documented.,proposed,high
Q6139856,Q653633,James Mitose,Ed Parker,drop,,"[audit:kenpo-hawaii-us; verifier: confirmed] Parker trained under William Chow, not Mitose. The Ed Parker Wikipedia article names Mitose only as Chow's teacher ('a student of James Mitose') and explicitly has Parker training with Chow while in the Coast Guard; no source shows direct M",proposed,
Q15987278,A0112,Seikichi Odo,Larry Isaac,keep,,"[audit:kenpo-hawaii-us; verifier: plausible] Relationship is consistently claimed but only in Isaac's own dojo site (wixsite), LinkedIn promotion and lineage-organisation pages; no independent or scholarly source found. Downgrade medium to low: credible tradition within the Odo-lineag",proposed,low
Q653633,Q303,Ed Parker,Elvis Presley,keep,,"[audit:kenpo-hawaii-us; verifier: confirmed] Clearly documented, not merely infobox-reported: Parker taught Presley kenpo, awarded him black belt rank, and served as one of his bodyguards in his final years; Parker also wrote a book on Presley (Inside Elvis). Upgrade medium to high.",proposed,high
Q653633,Q550492,Ed Parker,Dan Inosanto,keep,,"[audit:kenpo-hawaii-us; verifier: confirmed] Inosanto's Wikipedia article states he 'was a student of Ed Parker, from whom he received a shodan rank in American Kenpo'; Parker famously introduced Inosanto to Bruce Lee at the 1964 Long Beach Internationals. Upgrade medium to high.",proposed,high
Q653633,Q1052982,Ed Parker,Jeff Speakman,keep,,"[audit:kenpo-hawaii-us; verifier: confirmed] Speakman's Wikipedia article documents years of American Kenpo training 'under his principal instructor, Larry Tatum, as well as under the system's founder Parker', with first-degree black belt in 1984. Upgrade medium to high. Note his prin",proposed,high
Q190141,Q17225688,Jigoro Kano,Kenji Kano,drop,,"[audit:judo-aikido-koryu; verifier: confirmed] Q17225688 is Kano Kenji (1881-1947), a Kobe yakuza boss and boxing promoter ('Pisuken'). Jigoro Kano was his guardian and possibly a cousin, but neither Wikidata nor the Japanese Wikipedia article documents any judo instruction under Jigoro",proposed,
Q190141,Q5618841,Jigoro Kano,Gunji Koizumi,drop,,"[audit:judo-aikido-koryu; verifier: confirmed] Koizumi's documented jujutsu teachers were Tago Nobushige, Yamada Nobukatsu and Akishima Tsunejiro. He first met Kano in July 1920 when Kano visited the Budokwai en route to Antwerp and awarded him 2nd dan on affiliation. An award of rank a",proposed,
Q706726,Q7790297,Gozo Shioda,Thomas H Makiyama,drop,,"[audit:judo-aikido-koryu; verifier: plausible] Wikipedia describes Shioda as Makiyama's 'close friend and professional acquaintance since 1948'; Makiyama opened the first overseas Yoshinkan branch at Shioda's request and held Yoshinkan 8th dan, but no source documents him as Shioda's st",proposed,
Q123398,Q352678,Andy Hug,Bjorn Bregy,keep,,"[audit:judo-aikido-koryu; verifier: confirmed] Sole support is one passing line in Hug's article ('bringing through the next generation of Swiss heavyweights in Xhavit Bajrami, Björn Bregy and Petar Majstorović'). Bregy's own article lists his trainers as Mike Passenier and Klaus Waschk",proposed,low
Q190141,Q2637587,Jigoro Kano,Shiro Saigo,keep,,"[audit:judo-aikido-koryu; verifier: confirmed] Saigo entered the Kodokan in 1882 as one of Kano's first students and is one of the Kodokan shitenno (Four Guardians); this is core, uncontested Kodokan history and deserves high, not medium.",proposed,high
Q190141,Q4340844,Jigoro Kano,Vasili Oshchepkov,keep,,[audit:judo-aikido-koryu; verifier: confirmed] Oshchepkov's admission to the Kodokan in 1911 and shodan in 1913 (nidan 1917) are documented in Kodokan records; he was among the first foreigners Kano admitted. Clearly documented.,proposed,high
Q190141,Q1937662,Jigoro Kano,Minoru Mochizuki,keep,,[audit:judo-aikido-koryu; verifier: confirmed] Mochizuki was a direct Kodokan student under Kano (Kano's kobudo research group) and it was Kano who sent him to Ueshiba in 1930; extensively documented by Aikido Journal.,proposed,high
Q4351940,Q716152,Yasuhiro Konishi,Shoji Nishio,keep,,"[audit:judo-aikido-koryu; verifier: confirmed] Nishio's Wikipedia biography states in text and infobox that he 'trained under Yasuhiro Konishi, the founder of Shindo jinen-ryu karate'; consistently reported in Aikido Journal interviews as well. Merits high.",proposed,high
Q3139173,C00279,Hohan Soken,Seiki Arakaki,keep,,[book:Bishop p.59-60] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium). Book supports upgrading confidence: longest-serving student.,proposed,high
Q6426547,C00187,Kokan Oyadomari,Kotsu Oyadomari,keep,,[book:Bishop p.83] corroborated by Bishop's own interview record; raise medium -> high. Chart teacher name lost to OCR but aligns with existing edge Kokan Oyadomari -> Kotsu Oyadomari (medium); data,proposed,high
Q3028499,Q2393877,Kosaku Matsumora,Chotoku Kyan,keep,,[book:Bishop p.91] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium). Book: Chinto kata from Matsumora (Tomari-te).,proposed,high
C00291,Q15987228,Seiyei Miyahira,Yuchoku Higa,keep,,[book:Bishop p.113-114] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium). Book supports it: Shuri-te Seisan and Sanchin.,proposed,high
Q7447367,C00044,Seko Higa,Choyu Kiyuna,keep,,[book:Bishop p.37] corroborated by Bishop's own interview record; raise medium -> high. Edge exists: Seko Higa -> Choyu Kiyuna (medium); Choyo/Choyu romanisation variant.,proposed,high
C00542,C00107,Shuren Kojo,Kafu Kojo,keep,,[book:Bishop p.48] corroborated by Bishop's own interview record; raise low -> high. Edge exists (low); book interview raises confidence.,proposed,high
Q7447367,C00013,Seko Higa,Chihan Yohena,keep,,[book:Bishop p.37] corroborated by Bishop's own interview record; raise low -> high. Existing edge Seko Higa -> Chihan Yohena (low); book raises confidence.,proposed,high
C00108,Q2473562,Kaho Kojo,Kanbun Uechi,keep,,"[book:Bishop p.41, 46] corroborated by Bishop's own interview record; raise low -> high. Existing edge Kaho Kojo -> Kanbun Uechi (low); book corroborates.",proposed,high
C00107,C00506,Kafu Kojo,Shigeru Kojo,keep,,[book:Bishop p.47] corroborated by Bishop's own interview record; raise low -> high. Existing edge Kafu Kojo -> Shigeru Kojo (low); book corroborates.,proposed,high
C00187,C00476,Kotsu Oyadomari,Seikichi Hokama,keep,,"[book:Bishop p.83-84] corroborated by Bishop's own interview record; raise medium -> high. Existing edge (medium); book is a first-hand interview, raises confidence.",proposed,high
Q1147708,C00514,Choki Motobu,Shinsuke Kaneshima,keep,,[book:Bishop p.128] corroborated by Bishop's own interview record; raise medium -> high. Existing edge Choki Motobu -> Shinsuke Kaneshima (medium); book interview corroborates.,proposed,high
C00604,Q2393877,Tokumine Pechin,Chotoku Kyan,keep,,[book:Bishop p.91] corroborated by Bishop's own interview record; raise low -> high. Existing edge (low). Note Nakama's variant: Tokumine had died and the landlord taught the kata.,proposed,high
A0236,C00508,Ishimine Pechin,Shinbi Kaneshima,keep,,[book:Bishop p.63] corroborated by Bishop's own interview record; raise medium -> high. Old Man Ishimine = dataset 'Ishimine Pechin'; edge exists (medium),proposed,high
C00178,C00476,Konin Oyadomari,Seikichi Hokama,keep,,[book:Bishop p.83-84] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium),proposed,high
Q1147708,Q3194253,Choki Motobu,Katsuya Miyahira,keep,,[book:Bishop p.111] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium),proposed,high
Q954330,C00252,Ryu Ryu Ko,Kitoku Sakiyama,keep,,[book:Bishop p.148] corroborated by Bishop's own interview record; raise medium -> high. Ru Ru Ko = dataset 'Ryu Ryu Ko'; edge exists (medium),proposed,high
C00450,C00373,Sanda Kanagusuku,Moden Yabiku,keep,,[book:Bishop p.158] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium),proposed,high
C00354,C00373,Tawata Pechin,Moden Yabiku,keep,,[book:Bishop p.158] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium),proposed,high
C00494,C00253,Seitoku Higa,Kiyohiko Higa,keep,,"[book:Bishop p.171, 174] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium)",proposed,high
Q7447367,C00101,Seko Higa,Juei Tamaki,keep,,[book:Bishop p.37] corroborated by Bishop's own interview record; raise medium -> high. Seiko Higa = Seko Higa. Edge 'Seko Higa -> Juei Tamaki (medium)' exists.,proposed,high
Q1728269,C00628,Kanei Uechi,Tsutomu Nakahodo,keep,,[book:Bishop p.43] corroborated by Bishop's own interview record; raise low -> high. Edge 'Kanei Uechi -> Tsutomu Nakahodo (low)' exists.,proposed,high
Q1728269,C00301,Kanei Uechi,Kosuke Yonamine,keep,,[book:Bishop p.43] corroborated by Bishop's own interview record; raise low -> high. Edge 'Kanei Uechi -> Kosuke Yonamine (low)' exists.,proposed,high
C00145,C00141,Iwah,Isei Kojo,keep,,[book:Bishop p.47] corroborated by Bishop's own interview record; raise medium -> high. Edge 'Iwah -> Isei Kojo (medium)' exists.,proposed,high
C00508,C00517,Shinbi Kaneshima,Shinyei Kaneshima,keep,,"[book:Bishop p.63] corroborated by Bishop's own interview record; raise low -> high. Edge 'Shinbi Kaneshima -> Shinyei Kaneshima (low)' exists; book (father-son, from age seven) supports upgradin",proposed,high
Q251784,Q3028499,Annan,Kosaku Matsumora,keep,,[book:Bishop p.85] corroborated by Bishop's own interview record; raise low -> high. Anan = Annan. Edge 'Annan -> Kosaku Matsumora (low)' exists; book supports upgrading confidence. Book also nam,proposed,high
C00261,C00293,Kodatsu Iha,Seiyu Nakasone,keep,,[book:Bishop p.85] corroborated by Bishop's own interview record; raise medium -> high. Edge 'Kodatsu Iha -> Seiyu Nakasone (medium)' exists.,proposed,high
