kata,relation,other_kata,confidence,stated_or_mirrored,note,sources
Paiho,variant,Hakutsuru,high,stated,"Paiho is one of Ryuei-ryu's higher-level White Crane kata. 'Paiho' is the Okinawan reading, 'Baihe' the Chinese and 'Hakutsuru' or 'Hakkaku' the Japanese, so the two names denote the same crane form even where the schools' readings differ.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Paiku,cognate,Hakutsuru,medium,stated,"Paiku is written 白鶴, the same characters as Hakutsuru, and belongs to the same Ryuei-ryu crane group. Whether the forms themselves correspond is not established.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Paiku,cognate,Paiho,medium,mirrored,"Both are Ryuei-ryu crane kata of the Nakaima transmission, listed together with Anan, Ohan, Pachu and Heiku as the school's six.",https://katatotal.blogspot.com/2020/09/kata-paiho-by-sakumoto-tsuguo.html
Passai,same,Itosu no Passai,low,stated,"DATASET HYGIENE, not a historical claim. The generic 'Passai' row is written as the Itosu form: its creator/modifier text is about Itosu fixing the school version and Funakoshi renaming it. But the name in the field is an umbrella, since in Matsubayashi-ryu, Seibukan and Shorinji-ryu unqualified 'Passai' means Kyan's form. Recommend keeping 'Passai' as an explicit umbrella node with the named forms hanging off it, rather than merging.",mokuso.ar/articulos/dojo-apuntes-passai/
Passai (Wado-ryu),derived_from,Bassai Dai,high,stated,"Otsuka then reworked it through Shindo Yoshin-ryu body mechanics, which is the Wado-specific layer. Motobu's and Mabuni's influence on Otsuka attaches mainly to Naihanchi and the Pinan, not to Bassai. Otsuka was Funakoshi's student and took the kata from him; the flow is Shotokan to Wado. Refinement worth recording: Otsuka learned it in the 1920s, before Gigo Funakoshi and the JKA restyled Shotokan's version, so Wado's Bassai and modern Shotokan's Bassai Dai are better understood as two descenda",en.wikipedia.org/wiki/Hironori_Otsuka | usawadoryu.com/history-of-wado-ryu-karate-do/
Passai Dai,namesake,Bassai Dai,medium,stated,"Scoped, and true only within the Chibana/Kobayashi line, where Passai Dai is Tawada's form and Bassai Dai is Itosu's. Outside that line, in Shito-ryu and general Okinawan usage, the two names denote the same kata. This is precisely why 'Passai Dai' cannot be collapsed to a single node without a line qualifier.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/ | tanzadeh.com Shito-ryu kata pages"
Passai Dai,same,Tawada no Passai,high,stated,"Scoped to the Chibana/Kobayashi line: there, Passai Dai is Tawada no Passai. Chibana is said to have preserved it on Itosu's own instruction, after Itosu praised his performance of the rarely seen form.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | mrnickj.blogspot.com/2010/06/passai-kata.html | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/"
Passai Sho,namesake,Bassai Sho,high,stated,"THE TRAP, and the answer to the client's suspicion that the names travel badly. In Kobayashi Shorin-ryu these are not the same kata and not variants: Kobayashi 'Passai Sho' is Itosu's full Passai, Shotokan 'Bassai Sho' is the short companion form. They share a name only because 'sho' was applied twice for different reasons, by Itosu's line to mark a shorter companion and by Chibana to free up 'dai' for Tawada's form. Scoping caveat: in Shito-ryu 'Passai Sho' IS simply the Okinawan reading of Bas","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | 'How the Passai Sho (Bassai Sho) arrived in Japan', karate-shorin-ryu-piemonte.webnode.it | mrnickj.blogspot.com/2010/06/passai-kata.html"
Passai Sho,same,Bassai Dai,high,stated,"The cross-style equivalence the naming hides: Kobayashi Shorin-ryu's Passai Sho and Shotokan's Bassai Dai are the same kata, both being Itosu's Passai, differing only by the Japanese restyling (kokutsu-dachi for neko-ashi-dachi, longer stances). Read the names alone and you get this exactly backwards.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it"
Passai Sho,same,Itosu no Passai,high,stated,"In the Chibana/Kobayashi line and its branches (Shorinkan, Kyudokan, Shidokan, Shubukan), 'Passai Sho' is Itosu's Passai. Itosu taught it as his Passai Dai; Chibana renamed it Sho so he could give 'Dai' to Tawada no Passai. Consistent across three independent write-ups of the Chibana-line literature.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | mrnickj.blogspot.com/2010/06/passai-kata.html | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/"
Pechurin,uncertain,Suparinpei,high,stated,"Labelled both 'variant' and 'same' by different readings, so recorded as unsettled. Sibling redactions of one form, received from one teacher, that diverged and then acquired different names. Kyoda Jūhatsu began under Higaonna Kanryō in 1902; Miyagi Chōjun one month later; both received the form under the name Pechurin. Kyoda kept the name and his reading; Miyagi revised the form and, between 1930 and 1934, the name. The Tōon-ryū version has fewer movements and a different closing sequence than Gōjū's, and retains crane hand methods, a 髷取り外し topknot-release, and a straight-legg","Motobu Naoki, スーパーリンペーとペッチューリンは別々の型なのか — https://note.com/motoburyu/n/nba4cec20f9e5 | 『源流・沖縄空手』(『月刊空手道』1月号別冊, 福昌堂, 2007), Kanzaki Shigekazu's account of Kyoda | ja.wikipedia, 東恩流 — https://ja.wikipedia.org/wiki/%E6%9D%B1%E6%81%A9%E6%B5%81"
Pechurin,cognate,Happoren,low,mirrored,"Recorded because the naming is suggestive and the client will meet the argument, not because descent is shown. 八歩連 Happoren ('eight steps linked') and 百歩連 Peichurin ('hundred steps linked') share the 〜歩連 construction, and both are Fuzhou forms that reached Naha; Happoren is Babulian, from the Mínghèquán syllabus of Xie Zhongxiang, the leading identification of Ryū Ryū Kō, brought to Naha by Go Kenki c.1912. The catch is that the documented Mínghèquán syllabus runs 八 and 二十八 (Babulian, Ershiba su","'Grandmaster Xie Zhongxian', worldwideway.org — https://worldwideway.org/others/xiezhongxian.html | Motobu Naoki, 一百零八の読み方 (百歩連 as the correct kanji) — https://note.com/motoburyu/n/nd939529561e4 | Joe Swift, 'China and the Origins of Okinawan White Crane Kenpo' — https://worldbudokan.com/worlbudokanhome/articles-2/china-and-the-origins-of-okinawan-white-crane-kenpo-part-1/"
Pechurin,same,Peichurin,high,mirrored,"Not two kata: two romanisations of one Okinawan word (ペッチューリン / ペツチュウリン) and two writings of one name. 百歩連 'hundred steps linked' is the kanji Nakasone Genwa gives in December 1934; 一百零八 'one hundred and eight' is how Funakoshi (1922), Motobu Chōki (1932) and Miki and Takada (1930) write it. Both denote the Tōon-ryū form. tsv should be merged, keeping 'Pechurin'.","Motobu Naoki, 一百零八の読み方 — https://note.com/motoburyu/n/nd939529561e4"
Pechurin,uncertain,Pechurin Dai,low,mirrored,"The client asked specifically, so: NO, this is not a real distinct form. No Tōon-ryū, Gōjū, Shitō, Wadō or Shōtōkan syllabus lists a Dai, Shō or Chū of Pechurin or Suparinpei; the JKF and WKF competition lists have none; Tōon-ryū holds exactly one Pechurin. The sole appearance anywhere is a personal blog post of April 2025 in which the author says a now-deceased 'Matsumura Sensei' privately taught him a second, harder Pechurin, which he will neither demonstrate nor teach; commenters on that same","'Pechurin Dai', isshin-concentration.blogspot.com, April 2025 — http://isshin-concentration.blogspot.com/2025/04/pechurin-dai.html | George W. Alexander, 'Suparinpei' — https://worldbudokan.com/worlbudokanhome/articles-2/suparinpei/ | André Bertel, 'Hyakuhappo' — http://andrebertel.blogspot.com/2021/03/hyakuhappo-suparinpei-of-shotokan.html"
Pechurin Dai,uncertain,Pechurin,low,stated,"The client asked specifically, so: NO, this is not a real distinct form. No Tōon-ryū, Gōjū, Shitō, Wadō or Shōtōkan syllabus lists a Dai, Shō or Chū of Pechurin or Suparinpei; the JKF and WKF competition lists have none; Tōon-ryū holds exactly one Pechurin. The sole appearance anywhere is a personal blog post of April 2025 in which the author says a now-deceased 'Matsumura Sensei' privately taught him a second, harder Pechurin, which he will neither demonstrate nor teach; commenters on that same","'Pechurin Dai', isshin-concentration.blogspot.com, April 2025 — http://isshin-concentration.blogspot.com/2025/04/pechurin-dai.html | George W. Alexander, 'Suparinpei' — https://worldbudokan.com/worlbudokanhome/articles-2/suparinpei/ | André Bertel, 'Hyakuhappo' — http://andrebertel.blogspot.com/2021/03/hyakuhappo-suparinpei-of-shotokan.html"
Peichurin,same,Pechurin,high,stated,"Not two kata: two romanisations of one Okinawan word (ペッチューリン / ペツチュウリン) and two writings of one name. 百歩連 'hundred steps linked' is the kanji Nakasone Genwa gives in December 1934; 一百零八 'one hundred and eight' is how Funakoshi (1922), Motobu Chōki (1932) and Miki and Takada (1930) write it. Both denote the Tōon-ryū form. tsv should be merged, keeping 'Pechurin'.","Motobu Naoki, 一百零八の読み方 — https://note.com/motoburyu/n/nd939529561e4"
Sei Shan,derived_from,Hangetsu,medium,stated,"The Korean form entered the Moo Duk Kwan through Hwang Kee's study of Funakoshi's Karate-do Kyohan from 1945, and thence Tang Soo Do and Soo Bahk Do. Its route is therefore through Shotokan and specifically through the post-1936 Japanised recension, not through any Okinawan transmission - which is why the Korean name transliterates the Chinese numeral 十三 while the form follows Funakoshi's. Confidence medium because the extent of Hwang Kee's direct instruction versus book study is itself disputed",https://en.wikipedia.org/wiki/Seisan | https://en.wikipedia.org/wiki/Tang_Soo_Do
Seisan,cognate,Sesan,high,stated,"THE CENTRAL ANSWER. The Shuri/Tomari Seisan and the Naha (Goju) Sesan are neither the same kata nor a namesake pair. They share the name, the opening template of successive centre-line thrusts from a sanchin-type stance, and the seisan-dachi signature, but diverge in length, embusen, hand formations and sequence - the Goju form is markedly longer and more complex. The evidence that forces 'cognate' rather than 'namesake' is structural: the Uechi version opens like the Goju one and then runs a mi",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/
Seisan,uncertain,Matsumura Seisan,low,stated,"THE POINT WHERE THE TRADITION ASSERTS MOST AND EVIDENCES LEAST. McCarthy reports the Shuri position and marks it as belief, not fact: 'the Shuri-based version of Seisan is believed to be the oldest... hence, Matsumura Seisan ""is"" the oldest version', the scare quotes doing the work. There is no documentary basis for it whatever. Every dated fact points the other way: the only recorded 19th-century performance is Aragaki's, in 1867, by a Kume/Naha man; and Seisan is absent from Chibana's Itosu cu",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/ | https://en.wikipedia.org/wiki/Nabe_Matsumura
Seisan,ancestor_of,Hangetsu,high,mirrored,"The renaming and derivation are settled. Which Seisan Funakoshi held is not - see the two 'uncertain' relations from Hangetsu below. Hangetsu is unambiguously the later form. Funakoshi taught and published the kata as SEISHAN in 1922 and 1925 and only renamed it Hangetsu (半月) in Karate-do Kyohan, 1935/36, as part of the wholesale Japanisation of kata names. Nagamine, who objected to the practice, lists it plainly: 'Seisan was changed to Hangetsu'. Gigo Funakoshi and later Nakayama then restyled",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | https://en.wikipedia.org/wiki/Hangetsu
Seisan,ancestor_of,Seisan (Isshin-ryu),high,mirrored,"Isshin-ryu is unusual in teaching Seisan FIRST, which preserves the older Okinawan pattern - McCarthy notes 'there seems to be reason to believe that Seisan may have been first taught as a fundamental practice with teachers in Naha, Shuri and Tomari' before Miyagi's era put Sanchin at the front. Shimabuku Tatsuo (1908-1975) learned Seisan from Kyan Chotoku, whose form long predates him, and then modified it: raised stances for mobility, and the vertical (half-rotation) fist throughout. Nakazato",https://en.wikipedia.org/wiki/Isshin-ry%C5%AB | https://en.wikipedia.org/wiki/Seisan | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf
Seisan,ancestor_of,Seishan (Wado-ryu),high,mirrored,"Wado's Seishan is Funakoshi's pre-1936 form plus Otsuka's Shindo Yoshin-ryu reworking: higher and more natural stances rather than a fixed hangetsu-dachi, parry at jodan rather than chudan, and less sustained tension. THE CLIENT'S SECOND QUESTION, ANSWERED: through Shotokan, not directly from Shuri-te. Otsuka's karate training began with Funakoshi in 1922; he was among the first Funakoshi black belts in 1924 and split c.1934-35. His standardised nine kata - Pinan 1-5, Naihanchi, Seishan, Kushank",https://en.wikipedia.org/wiki/Hironori_%C5%8Ctsuka | https://en.wikipedia.org/wiki/Wad%C5%8D-ry%C5%AB | https://www.motobu-ryu.org/motobu-kenpo/motobu-choki-sensei/
Seisan,cognate,Aragaki no Seisan,medium,mirrored,"Aragaki's is the earliest form we can put a date on - 24 March 1867 at the Ochayagoten - and it is a Kume/Naha form that nonetheless most resembles the Shuri/Japanese branch. That combination is why McCarthy proposes a single embryonic template behind everything: 'Based on the time frames, close geographical proximity, its physical makeup/unique features, and association with Aragaki, Higaonna, Iha, and Uechi... I think the one kata served as the original [if only embryonic] template from which",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf
Seisan,cognate,Seisan (Uechi-ryu),medium,mirrored,"THE STRUCTURAL BRIDGE, and the single strongest argument against calling the Shuri/Tomari and Naha forms namesakes. The Uechi version opens like the Naha family but then runs middle techniques and an embusen resembling the Shorin family. Djurdjevic's summary of the long-standing reading: 'Traditionally it has been said that the Goju-ryu version of Seisan contains the beginning and the end of the ""ancestral form"", while the Shorin contains the middle' - and Uechi's straddles the two. A shared nam",http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/
Seisan,same,Tomari Seisan,medium,mirrored,"His case: no Seisan is evidenced in the Matsumura or Itosu transmissions; the 1930 'Kenpo Gaisetsu' of Miki Nisaburo and Takada Mizuho documents an 'Oshiro Seisan' running Matsumora Kosaku to Iha Kodatsu to Oshiro Chojo; Funakoshi taught in Tomari and could have had it from Iha; and much of Kyan's training came from Tomari men, s",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://karateyalgomas.com/2017/03/02/notas-de-historia-seisan/
Seisan (Isshin-ryu),derived_from,Seisan,high,stated,"Isshin-ryu is unusual in teaching Seisan FIRST, which preserves the older Okinawan pattern - McCarthy notes 'there seems to be reason to believe that Seisan may have been first taught as a fundamental practice with teachers in Naha, Shuri and Tomari' before Miyagi's era put Sanchin at the front. Shimabuku Tatsuo (1908-1975) learned Seisan from Kyan Chotoku, whose form long predates him, and then modified it: raised stances for mobility, and the vertical (half-rotation) fist throughout. Nakazato",https://en.wikipedia.org/wiki/Isshin-ry%C5%AB | https://en.wikipedia.org/wiki/Seisan | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf
Seisan (Isshin-ryu),variant,Matsumura Seisan,medium,mirrored,"Evidentially load-bearing, because it ties the Shito-ryu 'Shuri' form to the Kyan/Shimabuku form and so shows they are one tradition rather than two: 'both the Kyan and the Shimabuku versions of this kata strongly resemble the ""Matsumura no Seisan"" used in some sects of Shito-ryu'. Since the Shito-ryu form reached Sakagami via the Shudokan and the Isshin-ryu form via Kyan, the resemblance implies a shared upstream source independent of both - which is what Kinjo's Tomari hypothesis is trying to",https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | https://translesbian.wordpress.com/2014/06/16/seisan-kata-13/
Seisan (Ryuei-ryu),uncertain,Sesan,high,stated,"Labelled both 'variant' and 'uncertain' by different readings, so recorded as unsettled. THE TECHNICAL RELATION, which is the half of the client's reading that holds. Ryuei-ryu's Seisan and Goju's Sesan are close enough that observers routinely call them near-identical; Ryuei's own account says the form was 'later modified somewhat to Ryuei-ryu's style', which in practice means more speed and acceleration and less rooting than the Goju reading. Variant rather than same. See the separate 'uncertain' relation on the same pair for HOW they came to be this close - the two questions have",http://ryueiryu-argentina.blogspot.com/p/estilo-historia.html | http://yushikan.blogspot.com/2010/10/gojuryu-and-ryueiryu-connection.html | https://translesbian.wordpress.com/2014/06/16/seisan-kata-13/
Seisan (Uechi),same,Seisan (Uechi-ryu),high,stated,"DATASET DEFECT, not a historical finding. These two rows are the same kata entered twice - same native (十三), same origin_person (Shu Shiwa / Zhou Zihe), same modifier (Kanei Uechi), overlapping style lists. 'Seisan (Uechi)' additionally carries konan-ryu and pangai-noon. Merge into 'Seisan (Uechi-ryu)' and retain the union of the style lists.",
Seisan (Uechi-ryu),cognate,Seisan,medium,stated,"THE STRUCTURAL BRIDGE, and the single strongest argument against calling the Shuri/Tomari and Naha forms namesakes. The Uechi version opens like the Naha family but then runs middle techniques and an embusen resembling the Shorin family. Djurdjevic's summary of the long-standing reading: 'Traditionally it has been said that the Goju-ryu version of Seisan contains the beginning and the end of the ""ancestral form"", while the Shorin contains the middle' - and Uechi's straddles the two. A shared nam",http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/
Seisan (Uechi-ryu),cognate,Sesan,medium,stated,"An entirely independent import: Uechi Kanbun took Seisan from Zhou Zihe (Shu Shiwa) in Fujian c.1897-1907, two decades after Higaonna's return, as one of only three Pangai-noon kata. The two open recognisably alike - 'the first half is clearly identifiable as being from the same source' - and then part company: 'while Goju seisan starts off looking a bit like Uechi seisan, that's about where the similarities end'. The Uechi form keeps open hands and shoken throughout and adds substantial materia",https://en.wikipedia.org/wiki/Uechi-Ry%C5%AB | http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://tkriblog.wordpress.com/2009/08/14/comparison-video-goju-and-uechi-seisan/
Seisan (Uechi-ryu),same,Seisan (Uechi),high,mirrored,"DATASET DEFECT, not a historical finding. These two rows are the same kata entered twice - same native (十三), same origin_person (Shu Shiwa / Zhou Zihe), same modifier (Kanei Uechi), overlapping style lists. 'Seisan (Uechi)' additionally carries konan-ryu and pangai-noon. Merge into 'Seisan (Uechi-ryu)' and retain the union of the style lists.",
Seisan (Uechi-ryu),uncertain,Aragaki no Seisan,low,mirrored,"A thread often pulled and never anchored. Nakaya Takao states that Aragaki accompanied Uechi Kanbun and Matsuda Tokusaburo on their 1897 crossing to China, and Aragaki's Seisan is sometimes invoked to explain features of the Uechi form. But Uechi's Seisan is attributed by his own line entirely to Zhou Zihe, learned over a decade in Fujian, and no transmission from Aragaki to Uechi is recorded. Listed so the claim is visible and marked as unsupported, not because it is likely.",http://irkrs.blogspot.com/2013/04/aragaki-seisho-tsuji-pechin-1840-1920.html
Seishan (Wado-ryu),derived_from,Seisan,high,stated,"Wado's Seishan is Funakoshi's pre-1936 form plus Otsuka's Shindo Yoshin-ryu reworking: higher and more natural stances rather than a fixed hangetsu-dachi, parry at jodan rather than chudan, and less sustained tension. THE CLIENT'S SECOND QUESTION, ANSWERED: through Shotokan, not directly from Shuri-te. Otsuka's karate training began with Funakoshi in 1922; he was among the first Funakoshi black belts in 1924 and split c.1934-35. His standardised nine kata - Pinan 1-5, Naihanchi, Seishan, Kushank",https://en.wikipedia.org/wiki/Hironori_%C5%8Ctsuka | https://en.wikipedia.org/wiki/Wad%C5%8D-ry%C5%AB | https://www.motobu-ryu.org/motobu-kenpo/motobu-choki-sensei/
Seishan (Wado-ryu),variant,Hangetsu,high,stated,"Deliberately NOT 'derived_from' in either direction. Both are derivatives of Funakoshi's pre-1936 Seisan, and they branched at different moments: Otsuka took his in the 1920s, before Gigo Funakoshi and Nakayama restyled the Shotokan form into deep hangetsu-dachi. Wado's Seishan is therefore not a descendant of modern Hangetsu but a sibling that preserves an earlier state of the same Funakoshi form, overlaid with Otsuka's jujutsu-informed body mechanics. Saying 'Wado's comes from Shotokan's Hange",https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/ | https://en.wikipedia.org/wiki/Hangetsu | https://en.wikipedia.org/wiki/Gig%C5%8D_Funakoshi
Sesan,cognate,Kan'yu Seisan,medium,mirrored,"BREAKS THE 'NAHA-TE IS HOMOGENEOUS' ASSUMPTION. To'on-ryu's Seisan is not Goju's. Kyoda Juhatsu knew two: Higaonna Kanryo's ('Higaonna West', the Goju ancestor) and Higaonna Kan'yu's ('Higaonna East', 1849-1922, Kanryo's older relative and possibly Kyoda's first teacher through his mother's family). He vacillated for years, at one point proposing to combine the best of both, and in the end taught Kanzaki Shigekazu only the KAN'YU version. To'on-ryu's own syllabus lists it as 'Kan'yu Seisan'. Kan",https://en.wikipedia.org/wiki/T%C5%8Don-ry%C5%AB | http://isshin-concentration.blogspot.com/2024/10/the-following-are-several-interesting.html
Sesan,cognate,Seisan,high,mirrored,"THE CENTRAL ANSWER. The Shuri/Tomari Seisan and the Naha (Goju) Sesan are neither the same kata nor a namesake pair. They share the name, the opening template of successive centre-line thrusts from a sanchin-type stance, and the seisan-dachi signature, but diverge in length, embusen, hand formations and sequence - the Goju form is markedly longer and more complex. The evidence that forces 'cognate' rather than 'namesake' is structural: the Uechi version opens like the Goju one and then runs a mi",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/
Sesan,cognate,Seisan (Uechi-ryu),medium,mirrored,"An entirely independent import: Uechi Kanbun took Seisan from Zhou Zihe (Shu Shiwa) in Fujian c.1897-1907, two decades after Higaonna's return, as one of only three Pangai-noon kata. The two open recognisably alike - 'the first half is clearly identifiable as being from the same source' - and then part company: 'while Goju seisan starts off looking a bit like Uechi seisan, that's about where the similarities end'. The Uechi form keeps open hands and shoken throughout and adds substantial materia",https://en.wikipedia.org/wiki/Uechi-Ry%C5%AB | http://www.wayofleastresistance.net/2008/04/seisan-universal-kata.html | https://tkriblog.wordpress.com/2009/08/14/comparison-video-goju-and-uechi-seisan/
Sesan,namesake,Matsumura Seisan,high,mirrored,"THE ONE PLACE IN THIS COMPLEX WHERE 'NAMESAKE' IS THE RIGHT WORD, and it is an intra-style one. Shito-ryu holds two Seisans acquired seventy years apart by unrelated routes: the Naha 'Sesan', in the syllabus from the beginning via Higaonna Kanryo to Mabuni Kenwa, and 'Matsumura Seisan', which was NOT in Mabuni's curriculum at all - 'In the original curriculum of Shito-ryu this kata did not exist' - and which Sakagami Ryusho added post-war after tracing it to the Shudokan and learning it from Tsu",http://itosukai.blogspot.com/2017/09/seisan.html | http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://en.wikipedia.org/wiki/Kenwa_Mabuni
Sesan,uncertain,Aragaki no Seisan,medium,mirrored,"UNRESOLVED INSIDE GOJU ITSELF. Aragaki taught Higaonna Kanryo for about three years from 1867, BEFORE Higaonna sailed for Fuzhou - so Higaonna held an Okinawan Seisan before a Chinese one. Some accounts accordingly describe the Goju form as 'a personalization of Seisho Aragaki's Seisan by Kanryo Higashionna and Chojun Miyagi'; the orthodox Goju account traces it wholly to Ryu Ryu Ko, and Miyagi's 1915 verification in Fuzhou with a surviving Ryu Ryu Ko student is offered in support. Both may be p",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://www.gkrkarate.com/about-gkr/black-belt-3rd-dan/seisan-history/
Sesan,uncertain,Seisan (Ryuei-ryu),high,mirrored,"Labelled both 'variant' and 'uncertain' by different readings, so recorded as unsettled. THE TECHNICAL RELATION, which is the half of the client's reading that holds. Ryuei-ryu's Seisan and Goju's Sesan are close enough that observers routinely call them near-identical; Ryuei's own account says the form was 'later modified somewhat to Ryuei-ryu's style', which in practice means more speed and acceleration and less rooting than the Goju reading. Variant rather than same. See the separate 'uncertain' relation on the same pair for HOW they came to be this close - the two questions have",http://ryueiryu-argentina.blogspot.com/p/estilo-historia.html | http://yushikan.blogspot.com/2010/10/gojuryu-and-ryueiryu-connection.html | https://translesbian.wordpress.com/2014/06/16/seisan-kata-13/
Suparinpei,ancestor_of,Hyakuhachiho,high,mirrored,"The Shōtōkan 108 is a twentieth-century adaptation of the Gōjū/Shitō Suparinpei, existing in at least three materially different Shōtōkan redactions under one name: an internal JKA version (Shōji Hiroshi → Yamaguchi Tōru), Asai Tetsuhiko's Hyakuhappo, and Kanazawa Hirokazu's SKIF Hyakuhachiho. The client's reading of the direction is correct; the attribution is not. Shōtōkan is the borrower. (1) The 108 is documented in Naha from 1867 and in the Higaonna/Gōjū line from the 1880s; Shōtōkan is a S","André Bertel, '百八歩 (Hyakuhappo): the スーパーリンペイ (Suparinpei) of Shotokan' — http://andrebertel.blogspot.com/2021/03/hyakuhappo-suparinpei-of-shotokan.html | IJKA Shotokan & Asai-ryu kata list — https://shotokan.bg/en/ijka-shotokan-asai-ryu-kata | 'Los otros katas del Shotokan' — https://karateyalgomas.com/2015/02/11/los-otros-katas-del-shotokan/"
Suparinpei,uncertain,Ippyakureihachi (Kojo-ryu),low,mirrored,"The Naha-te kata tables list only 天巻 for 湖城流, and the fuller Kojō-ryū listings contain no 108 form. There IS a real historical adjacency worth keeping the entry alive for: Kojō Taitei ran a dojo in Fuzhou, and McCarthy has Aragaki Seishō recommending Higaonna to Kojō Taitei before Higaonna sailed, so the Kojō house sits directly on the road the 108 travelled. But adjacency is not transmission and I found no evidence of the","Weblio, 那覇手系その他の型一覧 — https://www.weblio.jp/content/%E9%82%A3%E8%A6%87%E6%89%8B%E7%B3%BB%E3%81%9D%E3%81%AE%E4%BB%96%E3%81%AE%E5%9E%8B%E4%B8%80%E8%A6%A7 | Patrick McCarthy, 'Aragaki Seisan & Chokyu-gata' — http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf"
Suparinpei,uncertain,Pechurin,high,mirrored,"Labelled both 'variant' and 'same' by different readings, so recorded as unsettled. Sibling redactions of one form, received from one teacher, that diverged and then acquired different names. Kyoda Jūhatsu began under Higaonna Kanryō in 1902; Miyagi Chōjun one month later; both received the form under the name Pechurin. Kyoda kept the name and his reading; Miyagi revised the form and, between 1930 and 1934, the name. The Tōon-ryū version has fewer movements and a different closing sequence than Gōjū's, and retains crane hand methods, a 髷取り外し topknot-release, and a straight-legg","Motobu Naoki, スーパーリンペーとペッチューリンは別々の型なのか — https://note.com/motoburyu/n/nba4cec20f9e5 | 『源流・沖縄空手』(『月刊空手道』1月号別冊, 福昌堂, 2007), Kanzaki Shigekazu's account of Kyoda | ja.wikipedia, 東恩流 — https://ja.wikipedia.org/wiki/%E6%9D%B1%E6%81%A9%E6%B5%81"
Suparinpei,variant,Suparinpei (Wado-ryu),high,mirrored,"Not an independent Wadō inheritance. Ōtsuka Hironori learned it from Mabuni Kenwa and registered it with the Dai Nippon Butokukai in 1940 among sixteen kata. By 1970 Ōtsuka stated Wadō-ryū had nine kata and Suparempei was not among them; most Wadō organisations never restored it. Where it survives it is a branch-line retention of the Shitō reading, hence a variant of, not a sibling to, the Gōjū form.","Wadoryu Karatedo Kenkyukai, Wado history — https://wadokenkyukai.weebly.com/wado-history.html | GoJu.co.uk, Kata Superinpei — https://www.goju.co.uk/Kata%20Superinpei.html"
Suparinpei (Wado-ryu),variant,Suparinpei,high,stated,"Not an independent Wadō inheritance. Ōtsuka Hironori learned it from Mabuni Kenwa and registered it with the Dai Nippon Butokukai in 1940 among sixteen kata. By 1970 Ōtsuka stated Wadō-ryū had nine kata and Suparempei was not among them; most Wadō organisations never restored it. Where it survives it is a branch-line retention of the Shitō reading, hence a variant of, not a sibling to, the Gōjū form.","Wadoryu Karatedo Kenkyukai, Wado history — https://wadokenkyukai.weebly.com/wado-history.html | GoJu.co.uk, Kata Superinpei — https://www.goju.co.uk/Kata%20Superinpei.html"
