name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Tekki Shodan,鉄騎初段,Naifanchin Shodan; Naihanchi Shodan,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|gosoku-ryu|iskf|jska|kase-ha|kenkojuku|kwf,middle,Naihanchi Shodan (ナイハンチ初段),"iron horseman, first level",parent kata 19th century or earlier; renamed 1936,Unknown for the parent Naihanchi; renamed by Gichin Funakoshi,,Gigo Funakoshi (kiba-dachi lengthened) and Masatoshi Nakayama,late 1930s to 1950s,Anko Itosu (standardised); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised),yes,Nagamine records 'Naihanchi was changed to Tekki'.,"WKF Competition Rules, Appendix: Official Kata List"
Ten no Kata,天の形,Ten no Kata Omote; Ten no Kata Ura,japanese,shotokan|shotokai|ska|iskf|japanese-karate-generic|jka,junior,none: an outright Shotokan creation with no Okinawan original,"'Kata of heaven' (or 'of the universe'): part of a projected heaven-earth-man (ten-chi-jin) series of which only 'heaven' was completed, expressing fundamentals as the root of everything above them.","early 1940s (published in Karate-do Nyumon, 1943)",Gichin Funakoshi with Yoshitaka (Gigo) Funakoshi,"Shotokan dojo, Tokyo, Japan","Shigeru Egami (Q1246030) and the Shotokai, who kept it after the JKA dropped it",Shotokai transmission from 1949 onwards,Gichin Funakoshi (created); Gigo Funakoshi (created),,"Composed at the Shōtō-kan, Mejiro, Tokyo",https://en.wikipedia.org/wiki/Ten_no_kata | https://www.historyoffighting.com/shotokan-kata-history-part-one.php | https://en.wikipedia.org/wiki/Gig%C5%8D_Funakoshi
Tenshin,,Ten Shin,japanese,chito-ryu|yoshukai,,,"Commonly glossed as 'turning/rolling the body', reflecting the kata's characteristic evasive rotation; kanji and translation are not consistently documented.",mid-20th century (after 1946),Tsuyoshi Chitose (probable creation),"Kumamoto, Japan",,,Tsuyoshi Chitose (created),,"Chito-ryu lineage research treats Tenshin as probably Chitose's own composition, alongside his distinctive reworkings of Rohai and Sochin which differ enough from Okinawan versions to be considered his creations. It encapsulates the style's medical-anatomical rationale for lighter, rotational body mechanics.",https://www.chitoryu.ca/cottreau/kata.html | https://en.wikipedia.org/wiki/Chit%C5%8D-ry%C5%AB | https://www.chito-ryu.com/history/history01.html
Wankan (Shotokan),王冠,"Matsukaze (Shito-ryu cognate); Okan; Shofu (Funakoshi's proposed rename, not adopted); Wankuan",japanese,shotokan|shotokai|skif|ska|asai-ryu|iskf|japanese-karate-generic|jka|jska|kase-ha|kwf,senior,"Wankan (王冠) of the Tomari-te / Matsumora line; also carried in Shotokan sources as Shiofu and Matsukaze (松風), and as Ōkan",'King's crown': a name of Tomari-te origin sometimes linked (folklore) to Ryukyuan court patronage; Funakoshi's proposed rename Shofu ('pine wind') did not survive.,Shotokan version late 1930s-1940s,Tomari-te lineage (Matsumora line); Shotokan version by Yoshitaka (Gigo) Funakoshi,"Tomari, Okinawa; Shotokan version Tokyo, Japan",Gigo (Yoshitaka) Funakoshi (Q628761),late 1930s to 1945,Gigo Funakoshi (created),yes,"Shotokan's shortest kata, generally attributed to Gigo Funakoshi as an unfinished reworking of the Tomari Wankan; it entered the standard JKA syllabus after the war. The Shito-ryu line preserves the fuller Tomari form under Mabuni's name Matsukaze. An unusual case: the Okinawan name 王冠 survived intact, and it is the alternatives that are the renamings. Shotokan sources record Shiofu (汐風) and Matsukaze (松風, 'pine wind', again echoing Funakoshi's pen-name Shōtō), and Ōkan as the plain Japanese reading of the same characters; the English Wikipedia kata table gives Matsukaze as the Shotokan equivalent of Wankan. None displaced Wankan in general use. The technical work is Gigo's: he reduced and reworked the Tomari form into what is now the shortest kata in the Shotokan syllabus, 24 counts with a single kiai, and a persistent tradition holds that he died before finishing it, which would explai",https://en.wikipedia.org/wiki/Wankan | https://en.wikipedia.org/wiki/Gig%C5%8D_Funakoshi | https://www.shotokankarateonline.com/blog/the-27-shotokan-kata/
Wanshu (Wado-ryu),ワンシュウ,Empi; Wanshu; Wansu; Yun Bi,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,senior,,Named for the Chinese envoy Wang Ji (Wanshu),Folklore origin 1683; documented transmission 19th century; Wado version 1930s,Traditionally the envoy Wang Ji; Wado redaction by Hironori Otsuka,"Tomari, Okinawa",Hironori Otsuka,1930s-1970s,Kosaku Matsumora (transmitted); Anko Itosu (modified); Gichin Funakoshi (brought); Hironori Otsuka (modified),yes,"Tomari Wanshu > Matsumora/Itosu > Gichin Funakoshi (renamed Empi in Shotokan) > Otsuka, who kept the Okinawan name > Wadokai","Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Nagamine S. The Essence of Okinawan Karate-do (1976) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Akamine no Nunchaku,赤嶺のヌンチャク,Akamine no Nunchiyaku,kobudo,ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,"'Akamine's nunchaku'. Composed by Akamine Eisuke (1925-1999), Taira Shinken's successor as head of the Ryukyu Kobudo Hozon Shinko Kai, as a second, more elaborate nunchaku kata for his Shinbukan curriculum.",second half of the 20th century,Akamine Eisuke,"Tomigusuku, Okinawa",,,Eisuke Akamine (created),,"Akamine, who inherited Taira's organisation in 1970, added several forms of his own; this kata passed into the Tesshinkan through his student Tamayose Hidemi.",https://en.wikipedia.org/wiki/Okinawan_kobud%C5%8D | https://en.wikipedia.org/wiki/Nunchaku | https://ja.wikipedia.org/wiki/%E7%90%89%E7%90%83%E5%8F%A4%E6%AD%A6%E8%A1%93
Bo Kihon Kata Dai Ichi,棒基本型第一,Bojutsu Kihon Kata I; Kihon no Kon Ichi,kobudo,ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,junior,,'first fundamental staff form',mid 20th century (c. 1950s-1970s),Akamine Eisuke (attributed); some lines credit Taira Shinken,,Akamine Eisuke,c. 1970 (foundation of the Ryukyu Kobudo Hozon Shinkokai),Eisuke Akamine (created); Shinken Taira (created),yes,Ryukyu Kobudo Hozon Shinkokai teaching syllabus; transmitted onward to the Tesshinkan (Tamayose Hidemi) and Shinbukan (Akamine Hiroshi) branches.,Ryukyu Kobudo Hozon Shinkokai syllabus lists — not verified in corpus
Bo Kihon Kata Dai Ni,棒基本型第二,Bojutsu Kihon Kata II,kobudo,ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,junior,,'second fundamental staff form',mid 20th century (c. 1950s-1970s),Akamine Eisuke (attributed),,Akamine Eisuke,c. 1970,Eisuke Akamine (created),yes,As Bo Kihon Kata Dai Ichi.,Ryukyu Kobudo Hozon Shinkokai syllabus lists — not verified in corpus
Chatan Yara no Kon,北谷屋良の棍,Chatan Yara nu Kun; Chatanyara no Kon; Yara no Kon; Yara nu Kun,kobudo,bunbukan|matayoshi-kobudo|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai|ufuchiku-kobujutsu|yamanni-ryu,,,'the staff of Yara of Chatan',early 18th century (traditional attribution),Chatan Yara,Chatan,Taira Shinken,c. 1930s-1955,Chatan Yara (created); Shinken Taira (standardised),yes,Chatan Yara -> (unrecorded) -> Yabiku Moden / Taira Shinken; a parallel Matayoshi family version survives as Yara no Kon.,
Chatan Yara no Sai,北谷屋良の釵,Chatanyara no Sai; Yara no Sai,kobudo,bunbukan|genbu-kai|isshin-ryu-kobudo|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai,,,'the sai of Yara of Chatan',early 18th century (traditional attribution),Chatan Yara,Chatan,Taira Shinken; adapted in Isshin-ryu by Shimabuku Tatsuo,c. 1930s-1955 (Taira); c. 1956 (Isshin-ryu),Chatan Yara (created); Moden Yabiku (brought); Shinken Taira (standardised); Tatsuo Shimabuku (transmitted),yes,"Chatan Yara -> Yabiku Moden -> Taira Shinken -> Akamine Eisuke; also into Isshin-ryu kobudo and, through Mabuni and Demura, into Shito-ryu.","Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Chikin Akachu no Ekudi,津堅赤中ぬ櫂手,"Akachu no Ekudi; Chikin Akachu no Eku; Chikin Akachu no Eku-di; Tsuken Akachu no Eku; Tsuken Sunakake no Eku (already held, Taira line)",kobudo,matayoshi-kobudo|matayoshi-kobudo-imka|matayoshi-kodokan|okinawa-kobudo-doushi-renseikai|okinawan-kobudo|world-oshukai,,,'the oar techniques of the red man of Chikin (Tsuken)',18th to 19th century (traditional attribution); codified in the Matayoshi school 20th century,"Akachu (also called Azato), a fisherman of Tsuken Island",Tsuken Island (Chikin-jima),"Shinko Matayoshi, then Shinpo Matayoshi",1930s-1990s,Tsuken Shosoku Oyakata (transmitted); Tsuken Akachu (created); Chokuho Agena (transmitted); Shinko Matayoshi (brought); Shinpo Matayoshi (standardised); Agena Chokuho (transmitted); Shinko Matayoshi (transmitted),yes,"Guarelli's account: Chikin Shosoku Oyakata, condemned to death for factional fighting in Shuri, was exiled to Tsuken-jima instead because of his renown as a bo expert; there he lodged with a fisherman named Akachu ('red man', from his sun-darkened complexion), taught him bojutsu, and was surpassed by him. Akachu then created an oar kata for defence against sword, lance and staff, sharpening the oar's edge (name-giri). The Matayoshi school received the eku from two sources: the Matayoshi family, in which it was Matayoshi Shinchin's favourite weapon, and Chokuho Agena.",
Chinen Shikiyanaka no Kon,知念志喜屋仲の棍,Chinen Shichanaka no Kon; Chinen Shitahaku no Kon (erroneous); Shichanaka no Kun; Shichanaka nu Kun,kobudo,bunbukan|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai|yamanni-chinen-ryu-rbkd|yamanni-ryu,,,'the staff of Chinen of Shikiyanaka',19th century,"Chinen Shikiyanaka (Shichanaka), bo master of the Chinen family","Shikiyanaka, Okinawa",Taira Shinken,c. 1930s-1955,Chinen Shikiyanaka (created); Sanda Chinen (brought); Shinken Taira (standardised); Masami Chinen (standardised),yes,Chinen Shikiyanaka -> Chinen Sanda (Yamanni Chinen) -> Taira Shinken / Chinen Masami. Preserved in both the Taira and Yamanni-Chinen lines.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Hakuho,白鵬,Sansetsukon Dai Ichi (as held in the database),kobudo,matayoshi-kobudo|matayoshi-kodokan|okinawan-kobudo|world-oshukai,,,'white roc/phoenix',c. 1980s; taught widely from the 1980s onwards,An unnamed student of Shinpo Matayoshi,Okinawa (Matayoshi Kodokan),None recorded since composition,1980s,Shinpo Matayoshi (transmitted),yes,"Matayoshi Kodokan practice, documented in the supplied Guarelli text",
Hakutsuru Soto,白鶴双刀,Hakutsuru Soutou,kobudo,kingai-ryu|matayoshi-kobudo|matayoshi-kodokan|okinawan-kobudo,,,'white crane double swords',Qing-era Fujian; in Okinawa c. 1912-1940 via Go Kenki,Go Kenki (Wu Xianhui),"Fuzhou, Fujian, via Naha","Shinko Matayoshi, then Shinpo Matayoshi",1920s-1990s,Gokenki (brought); Shinko Matayoshi (transmitted); Shinpo Matayoshi (transmitted),yes,Matayoshi school's published Go Kenki kata table (supplied Guarelli text),
Hamahiga no Sai,浜比嘉の釵,Hama Higa no Sai; Hamahiga nu Sai; Hamahika no Sai,kobudo,bunbukan|isshin-ryu-kobudo|matayoshi-kobudo|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai,,,'the sai of Hamahiga',17th to 18th century (traditional attribution),"Hamahiga Pechin of Hamahiga Island — but the name may be the island, not the man","Hamahiga Island, Yokatsu peninsula",Taira Shinken,c. 1930s-1955,Higa Peechin (created); Shinken Taira (standardised),yes,Collected by Yabiku Moden and Taira Shinken; paired in the canon with Hamahiga no Tonfa.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Hamahiga no Tonfa,浜比嘉のトンファー,Hama Higa no Tonfa; Hamahiga no Tuifa; Hamahiga no Tunfa,kobudo,bunbukan|isshin-ryu-kobudo|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai,,,'the tonfa of Hamahiga',17th to 18th century (traditional attribution),Hamahiga Pechin of Hamahiga Island — identification uncertain,Hamahiga Island,Taira Shinken; adapted in Isshin-ryu by Shimabuku Tatsuo,c. 1930s-1955 (Taira); c. 1956 (Isshin-ryu),Higa Peechin (created); Shinken Taira (standardised); Tatsuo Shimabuku (transmitted),yes,Taira canon; entered Isshin-ryu kobudo through Shimabuku Tatsuo's study with Taira.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus | Bishop, Okinawan Karate, Appendix C (Isshin-ryu kata list) — not verified in corpus"
Hantagwa no Sai,半田川の釵,Hantagawa Kuwa (spurious); Hantagawa no Sai; Hantagwa Koragwa no Sai; Tsuken Hantagawa no Sai; Tsuken Hantagwa no Sai,kobudo,bunbukan|ryukyu-kobudo|ryukyu-kobudo-akamine,,,'the sai of Hantagwa',19th century (Tsuken Hantaka dated 1829-1898),Tsuken Hantagwa (Hantaka) of Tsuken Island,Tsuken Island,Taira Shinken,c. 1930s-1955,Tsuken Hantaka (created); Shinken Taira (standardised),yes,Tsuken Hantagwa (1829-1898) -> Taira canon.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Himo-tuki Nichogama,紐付き二丁鎌,Himo kama no mai (related dance form); Himotuki Nichogama,kobudo,matayoshi-kobudo|matayoshi-kodokan,,,'corded paired sickles',1960s-1970s,Shinpo Matayoshi (and Kodokan seniors),"Naha, Okinawa",Shinpo Matayoshi,1960s-1970s,Shinpo Matayoshi (created),yes,"A variant of the Matayoshi kama method in which the sickles are corded to the wrists; used chiefly for demonstration and as a traditional dance exercise. A related dance form, himo kama no mai, was created by Hiroko Ogido with Eiko Miyazato under Shinpo's guidance.",
Jigen no Sai,自源の釵,Jigen no Sai Sho/Dai; Jigen nu Sai,kobudo,bunbukan|okinawan-kobudo|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobujutsu-hozon-shinko-kai,,,Uncertain. Probably a personal or place name; a link to the Jigen-ryu sword school of Satsuma is often assumed but is not documented for this kata,19th to 20th century; transmission route not recorded,Unknown. No originator is recorded anywhere in the kobudo literature. The kata survives because Shinken Taira catalogued it,Okinawa; specific district not recorded,"Shinken Taira (1897-1970), who collected, ordered and preserved it within the Ryukyu Kobudo Hozon Shinkokai syllabus",collected and fixed c. 1930s-1955; the Hozon Shinkokai was founded in 1955,Shinken Taira (standardised); Moden Yabiku (transmitted),yes,"Taira Shinken, successor to Moden Yabiku's Ryukyu Kobujutsu Kenkyukai, catalogued over forty traditional weapons kata from across Okinawa and in 1955 founded the Ryukyu Kobudo Hozon Shinkokai to preserve them. For a number of these forms, including Jigen no Sai, Taira recorded the kata but not a provenance.",https://en.wikipedia.org/wiki/Taira_Shinken | https://en.wikipedia.org/wiki/Ryukyu_Kobudo | https://www.kobudoindy.com/lineage/taira-shinken | http://isshin-concentration.blogspot.com/2021/03/what-did-taira-shinken-really-know.html
Jo-jutsu no Kata,杖術之型,Jojutsu no Kata; Tsue no Kata,kobudo,matayoshi-kobudo|matayoshi-kodokan|shinto-muso-ryu,,,'form of the short staff art',second half of the 20th century,"Kanei Katsuyoshi, a student of Shinpo Matayoshi",Okinawa,Kanei Katsuyoshi,1970s-1990s,Kanei Katsuyoshi (created); Shinpo Matayoshi (standardised),yes,"Guarelli: 'we teach a jo form which has been developed by a student of master Shinpo Matayoshi, Kanei Katsuyoshi, after he studied Shindo Muso-ryu jodo with the encouragement of the master himself. This form, called Jo-jutsu no kata, studies different techniques of defense and attack, grasping the jo quite like a sword.'",
Kakazu no Tekko,嘉数の鉄甲,Kakazu no Tekko no Kata; Kakazu nu Tekko,kobudo,matayoshi-kobudo|okinawan-kobudo|ryukyu-hon-kenpo,,,'Kakazu's iron knuckles',late 19th to mid 20th century (uncertain),Kakazu — referent disputed,"Kakazu district, Ginowan (probable)",unresolved,20th century,Kakazu Mitsuo (transmitted); Seikichi Odo (transmitted),yes,"Transmitted outside the Taira mainline; associated with the Odo Seikichi (Ryukyu Hon Kenpo Kobujutsu) and Okinawa Kenpo groups, and with the Matayoshi orbit through Kakazu Mitsuo.",
Kama nu Ti,鎌ぬ手,Kama no Te; Matayoshi no Kama; Matayoshi no Kama Dai Ichi; Matayoshi no Kama Dai Ni; Nichogama nu Ti,kobudo,matayoshi-kobudo|matayoshi-kobudo-imka|matayoshi-kodokan|okinawa-kobudo-doushi-renseikai|world-oshukai,,,'sickle techniques',early to mid 20th century (methods older),Shinko Matayoshi,Okinawa,Shinpo Matayoshi; standard form demonstrated by Yoshiaki Gakiya,1970s-1990s,Chokuho Agena (transmitted); Shinko Matayoshi (created); Shinpo Matayoshi (standardised); Yoshiaki Gakiya (standardised),yes,"Guarelli: 'The kama techniques come from Chokuho Agena taught to Shinko Matayoshi, and it became his favorite weapon', earning him the nickname Kama nu ti Mateshi. Standardised by Shinpo Matayoshi; the reference performance is Yoshiaki Gakiya's, whom Shinpo called the best kama practitioner in Okinawa.",
Kanegawa no Nichogama,兼川の二丁鎌,Kanegawa no Kama; Kanegawa nu Nichogama; Kanigawa no Kama; Kanigawa no Nichogama; Nichogama,kobudo,bunbukan|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,'Kanegawa's paired sickles',19th century (traditional attribution),"Kanegawa (Kanigawa), biographical details lost; possibly Kanegawa no Gibu",Okinawa,Taira Shinken,c. 1930s-1955,Kanegawa no Gibu (created); Shinken Taira (standardised),yes,Taira canon; paired with Kanegawa no Tinbe under the same eponym.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Kanegawa no Tinbe,兼川のティンベー,Kanegawa no Timbe; Kanegawa no Tinbe-Rochin; Kanigawa no Tinbe,kobudo,bunbukan|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,'Kanegawa's shield',19th century (traditional attribution),Kanegawa (Kanigawa); possibly Kanegawa no Gibu,Okinawa,Taira Shinken,c. 1930s-1955,Kanegawa no Gibu (created); Shinken Taira (standardised),yes,Taira canon; the principal tinbe-rochin kata outside the Matayoshi line.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Kojo no Sai,湖城の釵,Kogusuku no Sai; Kojo no Sai Dai; Kojo nu Sai; Kugusuku no Sai,kobudo,bunbukan|kojo-ryu|ryukyu-kobudo|ryukyu-kobudo-akamine,,,'the sai of the Kojo family',19th century (family tradition claims earlier),"no individual creator recorded; the Kojo family of Kume (Kuninda), Naha","Kume village (Kuninda), Naha",Taira Shinken,c. 1930s-1955,Kojo UEKATA (transmitted); Shinken Taira (standardised),yes,"A Kojo family form collected into the Taira canon. The Kojo line descends from Kojo Uekata (Sai Chokou / Cai Zhaogong, 1656-1737) and runs through Isei (1832-1891), Taitei (1837-1917), Kaho (1849-1925), Homei (1861-1919), Saikyo (1873-1941) and Shuren (1883-1945).","Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Kongo no Kon,金剛の棍,Kongo no Kun,kobudo,ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,'diamond/vajra staff',mid 20th century (c. 1940s-1950s),Taira Shinken,Okinawa / Japan,Akamine Eisuke,c. 1955-1970,Shinken Taira (created); Eisuke Akamine (standardised),,Composed by Taira Shinken as a modern synthesis; transmitted through the Ryukyu Kobudo Hozon Shinkokai to Akamine Eisuke and the Tesshinkan.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Kubo no Kon,久保之棍,Kubo bo; Kubo nu Kun,kobudo,matayoshi-kobudo|matayoshi-kobudo-imka|matayoshi-kodokan|okinawan-kobudo,,,"'the staff of Kubo' (Kubo district, Gushikawa)",19th century (traditional attribution); taught within the Matayoshi family before Shinko Matayoshi's generation,"Unnamed bo exponent of the Kubo area, Gushikawa; taught in the Matayoshi line by Shinchin Matayoshi","Kubo, Gushikawa village, Okinawa",Not recorded; preserved unaltered by uchi-deshi,20th century,Shinchin Matayoshi (transmitted); Shinko Matayoshi (transmitted); Shinpo Matayoshi (transmitted); Matayoshi Shinchin (transmitted); Shinko Matayoshi (brought),yes,"Matayoshi kobudo historical record, documented in the supplied Guarelli text as one of the bo kata 'no longer studied'",
Kuruman-bo no Kata,車棒之型,Kurumanbo no Kata; Renkuwan no Kata,kobudo,matayoshi-kobudo|matayoshi-kodokan,,,'form of the flail staff',"taught by Shinpo Matayoshi only in his final years, i.e. early to mid 1990s",Shinpo Matayoshi,"Naha, Okinawa",Shinpo Matayoshi,1990s,Shinpo Matayoshi (created),yes,"Matayoshi family/Kodokan transmission of an old Okinawan flail weapon, mentioned in a historical document of Kume village; taught very late by Shinpo Matayoshi.",
Kusanku Sai,公相君釵,Kusanku no Sai; Kyan Chotoku no Sai? (misnomer),kobudo,isshin-ryu-kobudo,middle,,"'Kusanku with sai'. Shimabuku Tatsuo's transposition of the empty-hand kata Kusanku (named for the 18th-century Chinese envoy Kong Xiangjun) onto the sai, retaining its night-fighting associations while exploiting the sai's trapping and flipping actions.",c. 1950s-1960s,Shimabuku Tatsuo,"Agena/Chun village, Okinawa",,,Tatsuo Shimabuku (created),,"A modern creation unique to Isshin-ryu kobudo, built on the Kusanku kata Shimabuku learned from Kyan Chotoku and the saijutsu he learned from Taira Shinken and Kina Shosei. Shimabuku's sai adaptation of the Kusanku pattern.",https://en.wikipedia.org/wiki/Isshin-ry%C5%AB | https://www.wikidata.org/wiki/Q27363 | https://en.wikipedia.org/wiki/Sai_(weapon)
Kuwa nu Ti,鍬の手,Kue no Kata; Kue nu Ti; Kuwa no Te; Matayoshi no Kuwa,kobudo,matayoshi-kobudo|matayoshi-kobudo-imka|matayoshi-kodokan|okinawa-kobudo-doushi-renseikai,,,"'Hand (art) of the hoe'. The Matayoshi kata for the farmer's hoe (kuwa), turning digging, dragging and handle-butt actions into fighting technique; a showpiece of the peasant-implement side of Okinawan kobudo.",early 20th century (methods older),Matayoshi Shinko,rural Okinawa,Shinpo Matayoshi,1960s-1990s,Shinko Matayoshi (created); Shinpo Matayoshi (standardised); Shinpo Matayoshi (created),yes,The only hoe kata in Okinawan kobudo; unique to the Matayoshi school. Uses the hiragwe single rectangular blade.,https://www.wikidata.org/wiki/Q1908088 | https://en.wikipedia.org/wiki/Okinawan_kobud%C5%8D | https://okic.okinawa/en/
Kyan no Sai,喜屋武の釵,Kusanku Sai (contested equivalence); Kyan Sai; Kyan no Sai no Kata,kobudo,isshin-ryu|isshin-ryu-kobudo,middle,,'Kyan's sai',first half of the 20th century; fixed c. 1956,attributed to the circle of Kyan Chotoku; assembled by Shimabuku Tatsuo,Okinawa,Tatsuo Shimabuku,c. 1956,Chotoku Kyan (transmitted); Tatsuo Shimabuku (created); Chotoku Kyan (brought); Tatsuo Shimabuku (standardised),yes,Isshin-ryu kobudo; named for Kyan Chotoku though composed or assembled by Shimabuku Tatsuo.,"Bishop, Okinawan Karate, Appendix C (Isshin-ryu kata list) — not verified in corpus | Isshin-ryu kobudo syllabus lists (IWKA) — not verified in corpus"
Maezato no Nunchaku,前里のヌンチャク,Maezato no Nunchiyaku; Taira no Nunchaku,kobudo,ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan|ryukyu-kobujutsu-hozon-shinko-kai,,,"'Maezato's nunchaku'. Maezato was Taira Shinken's birth surname (he took his mother's name Taira later), so the kata is self-named: his own codification of the horse-bridle flail into a formal kata.",mid 20th century (c. 1930s-1950s),Taira Shinken (born Maezato Shinken),Okinawa/Japan,,,Shinken Taira (created),,Little classical nunchaku kata survived into the 20th century; Taira composed this form (and Maezato no Tekko) under his birth name to fill the gap in his 1955 Ryukyu Kobudo syllabus.,https://en.wikipedia.org/wiki/Taira_Shinken | https://en.wikipedia.org/wiki/Nunchaku | https://ja.wikipedia.org/wiki/%E5%B9%B3%E4%BF%A1%E8%B3%A2
Maezato no Tekko,真栄里の鉄甲,Maezato no Tecchu (distinct weapon); Maezato nu Tekko; Tekko,kobudo,bunbukan|ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,'Maezato's iron knuckles',mid 20th century (c. 1930s-1950s),Taira Shinken (born Maezato Shinken),Kumejima / Okinawa,Akamine Eisuke,c. 1955-1970,Shinken Taira (created); Eisuke Akamine (standardised),,Composed by Taira Shinken under his birth surname; transmitted through the Ryukyu Kobudo Hozon Shinkokai.,"Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Manji no Sai,万字の釵,Manji Sai; Nunti Sai (implement confusion),kobudo,ryukyu-kobudo|ryukyu-kobudo-akamine|ryukyu-kobudo-tesshinkan,,,"'swastika/manji sai', from the reversed-prong implement",mid 20th century (c. 1950s),Taira Shinken (kata); Shinko Matayoshi (implement),Okinawa,Akamine Eisuke,c. 1955-1970,Shinken Taira (created); Shinko Matayoshi (brought); Eisuke Akamine (standardised),yes,"Composed by Taira Shinken for the manji-sai; the implement itself was introduced to Okinawa by Shinko Matayoshi, who copied it from a weapon seen in Shanghai.","Taira Shinken, Ryukyu Kobudo Taikan (1964) — not verified in corpus"
Matayoshi no Nunchaku,又吉のヌンチャク,Matayoshi nu Nunchaku; Nunchaku (Matayoshi); Nunchaku Dai Ichi; Nunchaku Dai San,kobudo,matayoshi-kobudo|matayoshi-kobudo-imka|matayoshi-kodokan|okinawa-kobudo-doushi-renseikai|world-oshukai,,,'Matayoshi's nunchaku',"taught in its present form from the 1960s; underlying technique from Irei Okina, late 19th to early 20th century",Irei Okina (technical source); Shinko Matayoshi (kata),Okinawa,Shinpo Matayoshi,1960s,Irei Okina (created); Shinko Matayoshi (brought); Shinpo Matayoshi (standardised); Shinko Matayoshi (created),yes,"Guarelli: 'The nunchaku techniques also come from Okina Irei... The Matayoshi no nunchaku kata is sometimes called as Nunchaku dai san. In all likelihood, it was taught, with minimum variations, in the 1960s.'",
Matayoshi no Sai,又吉の釵,Nicho Sai; Sai Dai Ichi; Sai Dai Ni; Sancho Sai; Sancho Sai (三丁釵); Shinbaru no Sai,kobudo,kingai-ryu|matayoshi-kobudo|matayoshi-kodokan,,,"'Matayoshi sai'. The graded sai kata of the Matayoshi curriculum (dai ichi and dai ni, plus the three-sai form Sancho Sai in which a third sai is carried for throwing), blending Okinawan saijutsu with Chinese methods from the Kingai-ryu inheritance.",early to mid 20th century,Matayoshi Shinko,"Naha, Okinawa (with Chinese elements from Fuzhou)",Shinpo Matayoshi,1960s-1990s,Shinko Matayoshi (created); Shinpo Matayoshi (standardised); Shinpo Matayoshi (created),yes,An informal umbrella name used by practitioners for the Matayoshi sai kata.,https://www.wikidata.org/wiki/Q1908088 | https://www.wikidata.org/wiki/Q1908090 | https://en.wikipedia.org/wiki/Sai_(weapon)
